Categoría: Todas las categorías

Día,covid: (Uruguay),coronavirus: (Uruguay)
2020-05-12,17,68
2020-05-13,23,79
2020-05-14,18,77
2020-05-15,15,67
2020-05-16,17,76
2020-05-17,19,100
2020-05-18,21,78
2020-05-19,16,58
2020-05-20,18,55
2020-05-21,19,51
2020-05-22,20,53
2020-05-23,20,54
2020-05-24,22,74
2020-05-25,18,51
2020-05-26,20,53
2020-05-27,23,54
2020-05-28,25,52
2020-05-29,22,51
2020-05-30,24,61
2020-05-31,22,46
2020-06-01,20,50
2020-06-02,18,41
2020-06-03,19,43
2020-06-04,20,43
2020-06-05,22,49
2020-06-06,22,55
2020-06-07,27,62
2020-06-08,20,41
2020-06-09,17,48
2020-06-10,18,50
2020-06-11,16,43
2020-06-12,22,47
2020-06-13,18,47
2020-06-14,24,52
2020-06-15,22,56
2020-06-16,19,48
2020-06-17,22,49
2020-06-18,20,48
2020-06-19,22,52
2020-06-20,27,57
2020-06-21,27,65
2020-06-22,24,53
2020-06-23,29,51
2020-06-24,21,47
2020-06-25,25,47
2020-06-26,24,51
2020-06-27,26,50
2020-06-28,25,68
2020-06-29,31,39
2020-06-30,20,36
2020-07-01,15,36
2020-07-02,18,42
2020-07-03,17,44
2020-07-04,17,42
2020-07-05,19,50
2020-07-06,17,41
2020-07-07,21,53
2020-07-08,19,43
2020-07-09,17,43
2020-07-10,18,44
2020-07-11,15,41
2020-07-12,20,42
2020-07-13,17,42
2020-07-14,18,39
2020-07-15,30,42
2020-07-16,27,53
2020-07-17,38,55
2020-07-18,29,65
2020-07-19,36,64
2020-07-20,35,58
2020-07-21,33,53
2020-07-22,36,69
2020-07-23,41,69
2020-07-24,29,56
2020-07-25,29,57
2020-07-26,27,60
2020-07-27,25,43
2020-07-28,23,43
2020-07-29,25,50
2020-07-30,18,39
2020-07-31,20,49
2020-08-01,23,49
2020-08-02,26,42
2020-08-03,23,35
2020-08-04,18,32
2020-08-05,13,27
2020-08-06,18,31
2020-08-07,18,28
2020-08-08,17,32
2020-08-09,20,35
2020-08-10,19,29
